,name,url
69,notre-dame-fighting-irish,https://www.espn.com/college-football/team/stats/_/id/87/notre-dame-fighting-irish
70,umass-minutemen,https://www.espn.com/college-football/team/stats/_/id/113/umass-minutemen
71,akron-zips,https://www.espn.com/college-football/team/stats/_/id/2006/akron-zips
72,ball-state-cardinals,https://www.espn.com/college-football/team/stats/_/id/2050/ball-state-cardinals
73,bowling-green-falcons,https://www.espn.com/college-football/team/stats/_/id/189/bowling-green-falcons
74,buffalo-bulls,https://www.espn.com/college-football/team/stats/_/id/2084/buffalo-bulls
75,central-michigan-chippewas,https://www.espn.com/college-football/team/stats/_/id/2117/central-michigan-chippewas
76,eastern-michigan-eagles,https://www.espn.com/college-football/team/stats/_/id/2199/eastern-michigan-eagles
77,kent-state-golden-flashes,https://www.espn.com/college-football/team/stats/_/id/2309/kent-state-golden-flashes
78,miami-oh-redhawks,https://www.espn.com/college-football/team/stats/_/id/193/miami-oh-redhawks
79,northern-illinois-huskies,https://www.espn.com/college-football/team/stats/_/id/2459/northern-illinois-huskies
80,ohio-bobcats,https://www.espn.com/college-football/team/stats/_/id/195/ohio-bobcats
81,toledo-rockets,https://www.espn.com/college-football/team/stats/_/id/2649/toledo-rockets
82,western-michigan-broncos,https://www.espn.com/college-football/team/stats/_/id/2711/western-michigan-broncos
83,air-force-falcons,https://www.espn.com/college-football/team/stats/_/id/2005/air-force-falcons
84,boise-state-broncos,https://www.espn.com/college-football/team/stats/_/id/68/boise-state-broncos
85,colorado-state-rams,https://www.espn.com/college-football/team/stats/_/id/36/colorado-state-rams
86,fresno-state-bulldogs,https://www.espn.com/college-football/team/stats/_/id/278/fresno-state-bulldogs
87,hawaii-rainbow-warriors,https://www.espn.com/college-football/team/stats/_/id/62/hawaii-rainbow-warriors
88,nevada-wolf-pack,https://www.espn.com/college-football/team/stats/_/id/2440/nevada-wolf-pack
89,new-mexico-lobos,https://www.espn.com/college-football/team/stats/_/id/167/new-mexico-lobos
90,san-diego-state-aztecs,https://www.espn.com/college-football/team/stats/_/id/21/san-diego-state-aztecs
91,san-jose-state-spartans,https://www.espn.com/college-football/team/stats/_/id/23/san-jose-state-spartans
92,unlv-rebels,https://www.espn.com/college-football/team/stats/_/id/2439/unlv-rebels
93,utah-state-aggies,https://www.espn.com/college-football/team/stats/_/id/328/utah-state-aggies
94,wyoming-cowboys,https://www.espn.com/college-football/team/stats/_/id/2751/wyoming-cowboys
95,arizona-state-sun-devils,https://www.espn.com/college-football/team/stats/_/id/9/arizona-state-sun-devils
96,arizona-wildcats,https://www.espn.com/college-football/team/stats/_/id/12/arizona-wildcats
97,california-golden-bears,https://www.espn.com/college-football/team/stats/_/id/25/california-golden-bears
98,colorado-buffaloes,https://www.espn.com/college-football/team/stats/_/id/38/colorado-buffaloes
99,oregon-ducks,https://www.espn.com/college-football/team/stats/_/id/2483/oregon-ducks
100,oregon-state-beavers,https://www.espn.com/college-football/team/stats/_/id/204/oregon-state-beavers
101,stanford-cardinal,https://www.espn.com/college-football/team/stats/_/id/24/stanford-cardinal
102,ucla-bruins,https://www.espn.com/college-football/team/stats/_/id/26/ucla-bruins
103,usc-trojans,https://www.espn.com/college-football/team/stats/_/id/30/usc-trojans
104,utah-utes,https://www.espn.com/college-football/team/stats/_/id/254/utah-utes
105,washington-huskies,https://www.espn.com/college-football/team/stats/_/id/264/washington-huskies
106,washington-state-cougars,https://www.espn.com/college-football/team/stats/_/id/265/washington-state-cougars
107,alabama-crimson-tide,https://www.espn.com/college-football/team/stats/_/id/333/alabama-crimson-tide
108,arkansas-razorbacks,https://www.espn.com/college-football/team/stats/_/id/8/arkansas-razorbacks
109,auburn-tigers,https://www.espn.com/college-football/team/stats/_/id/2/auburn-tigers
110,florida-gators,https://www.espn.com/college-football/team/stats/_/id/57/florida-gators
111,georgia-bulldogs,https://www.espn.com/college-football/team/stats/_/id/61/georgia-bulldogs
112,kentucky-wildcats,https://www.espn.com/college-football/team/stats/_/id/96/kentucky-wildcats
113,lsu-tigers,https://www.espn.com/college-football/team/stats/_/id/99/lsu-tigers
114,mississippi-state-bulldogs,https://www.espn.com/college-football/team/stats/_/id/344/mississippi-state-bulldogs
115,missouri-tigers,https://www.espn.com/college-football/team/stats/_/id/142/missouri-tigers
116,ole-miss-rebels,https://www.espn.com/college-football/team/stats/_/id/145/ole-miss-rebels
117,south-carolina-gamecocks,https://www.espn.com/college-football/team/stats/_/id/2579/south-carolina-gamecocks
118,tennessee-volunteers,https://www.espn.com/college-football/team/stats/_/id/2633/tennessee-volunteers
